Name,Shape,Price,Image,Brand,Link
PC 266A,Rectangular,67.48,round0,Titmus,http://www.framesdirect.com/framesfp/Titmus-lbrctb/r.html
Off Road 5015,Rectangular,75.40,round1,Stetson,http://www.framesdirect.com/framesfp/Stetson-pakcngp/r.html
Off Road 5021,Rectangular,75.40,round2,Stetson,http://www.framesdirect.com/framesfp/Stetson-pakcobr/r.html
TB5045,Rectangular,85.48,round3,Timberland,http://www.framesdirect.com/framesfp/Timberland-pakfndn/r.html
VO3862,Rectangular,91.64,round4,Vogue,http://www.framesdirect.com/framesfp/Vogue-palasjm/r.html
RX5187,Rectangular,114.00,round5,RayBan,http://www.framesdirect.com/framesfp/Ray-Ban_RX-tdrble/r.html
James Peak,Rectangular,128.02,round6,Columbia,http://www.framesdirect.com/framesfp/Columbia-palcriq/r.html
B213,Rectangular,128.41,round7,Ted Baker,http://www.framesdirect.com/framesfp/Ted_Baker-pakgocm/r.html
J520,Rectangular,128.90,round8,Jones New York,http://www.framesdirect.com/framesfp/Jones_New_York-palaqfp/r.html
CA7346,Rectangular,130.00,round9,Carrera,http://www.framesdirect.com/framesfp/Carrera-tcpgsg/r.html
RX7071F,Rectangular,130.00,round10,RayBan,http://www.framesdirect.com/framesfp/Ray-Ban_RX-palcrds/r.html
RX6299,Rectangular,130.00,round11,RayBan,http://www.framesdirect.com/framesfp/Ray-Ban-lakaofrf/r.html
DG3147P,Rectangular,152.00,round12,Dolce & Gabbana,http://www.framesdirect.com/framesfp/Dolce_Gabbana-pakgneq/r.html
Servo,Rectangular,160.00,round13,Oakley,http://www.framesdirect.com/framesfp/Oakley-lfnarbl/r.html
LucyAnn,Rectangular,164.00,round14,Kate Spade,http://www.framesdirect.com/framesfp/Kate_Spade-temdre/r.html
BE2037,Rectangular,167.75,round15,Burberry,http://www.framesdirect.com/framesfp/Burberry-tdsdkb/r.html
V02866,Round,91.64,square0,Vogue,http://www.framesdirect.com/framesfp/Vogue-lakamfma/r.html
VO2887,Round,106.58,square1,Vogue,http://www.framesdirect.com/framesfp/Vogue-lakaogld/r.html
Reinhardt,Round,137.89,square2,ArgyleCulture,http://www.framesdirect.com/framesfp/Argyleculture-lakanbsj/r.html
Fallon,Round,159.50,square3,Kate Space,http://www.framesdirect.com/framesfp/Kate_Spade-pakapbm/r.html
EXT,Round,161.35,square4,Titmus,http://www.framesdirect.com/framesfp/Titmus-scoil/r.html
Pierce,Round,162.50,square5,Spy,http://www.framesdirect.com/framesfp/Spy-lakanbld/r.html
BE2176,Round,172.00,square6,Burberry,http://www.framesdirect.com/framesfp/Burberry-lakaqbsd/r.html
Kyla,Round,173.00,square7,Kate Spade,http://www.framesdirect.com/framesfp/Kate_Spade-pakdrat/r.html
Downshift,Round,180.00,square8,Oakley,http://www.framesdirect.com/framesfp/Oakley-pakeoal/r.html
REV 329,Round,181.88,square9,Revolution,http://www.framesdirect.com/framesfp/Revolution-mineof/r.html
REV 728,Round,181.88,square10,Revolution,http://www.framesdirect.com/framesfp/Revolution-pakjshl/r.html
VE3187,Round,193.25,square11,Versace,http://www.framesdirect.com/framesfp/Versace-lakandtj/r.html
BE2161Q,Round,210.25,square12,Burberry,http://www.framesdirect.com/framesfp/Burberry-lakandki/r.html
1559 Urban Lite,Round,214.42,square13,Silhouette,http://www.framesdirect.com/framesfp/Silhouette-lakapcnj/r.html
PO2996,Round,218.86,square14,Persol,http://www.framesdirect.com/framesfp/Persol-tdsgmc/r.html
PO9714VM,Round,250.99,square15,Persol,http://www.framesdirect.com/framesfp/Persol-lakapepg/r.html
Indie Travis,Square,65.31,oval0,Rembrand,http://www.framesdirect.com/framesfp/Rembrand-tdkipg/r.html
Indie Howard,Square,65.31,oval1,Rembrand,http://www.framesdirect.com/framesfp/Rembrand-palcmfo/r.html
Indie Adam,Square,65.31,oval2,Rembrand,http://www.framesdirect.com/framesfp/Rembrand-palcmer/r.html
Off Road 5040,Square,75.4,oval3,Stetson,http://www.framesdirect.com/framesfp/Stetson-lakaqeoa/r.html
AR 18641,Square,79.75,oval4,Aristar,http://www.framesdirect.com/framesfp/Aristar-lakakhrd/r.html
RX5268,Square,106.00,oval5,RayBan,http://www.framesdirect.com/framesfp/Ray-Ban_RX-pakbsim/r.html
RX5245,Square,114.00,oval6,RayBan,http://www.framesdirect.com/framesfp/Ray-Ban_RX-teljob/r.html
MMJ451,Square,129.50,oval7,Marc Jacobs,http://www.framesdirect.com/framesfp/Marc_by_Marc_Jacobs-tdrhoc/r.html
RX6298,Square,130.00,oval8,RayBan,http://www.framesdirect.com/framesfp/Ray-Ban-lakaofre/r.html
RX5206,Square,138.00,oval9,RayBan,http://www.framesdirect.com/framesfp/Ray-Ban_RX-tdsjne/r.html
RX5287,Square,146.00,oval10,RayBan,http://www.framesdirect.com/framesfp/Ray-Ban_RX-pakjrhn/r.html
BE2170,Square,152.88,oval11,Burberry,http://www.framesdirect.com/framesfp/Burberry-lakaoemh/r.html
Tailspin,Square,160.00,oval12,Oakley,http://www.framesdirect.com/framesfp/Oakley-palapet/r.html
RX8901,Square,186.00,oval13,RayBan,http://www.framesdirect.com/framesfp/Ray-Ban-lakandtg/r.html
PR16MV,Square,195.54,oval14,Prada,http://www.framesdirect.com/framesfp/Prada-tdsgqe/r.html
PO3050V,Square,218.86,oval15,Persol,http://www.framesdirect.com/framesfp/Persol-palbljk/r.html
301S,Wire,79.03,heart0,Titmus,http://www.framesdirect.com/framesfp/Titmus-lalakg/r.html
SF2267,Wire,92.12,heart1,Sferoflex,http://www.framesdirect.com/framesfp/Sferoflex-lakaofte/r.html
BB189,Wire,116.65,heart2,Brooks Brothers,http://www.framesdirect.com/framesfp/Brooks_Brothers-qcofm/r.html
BB 1027,Wire,121.07,heart3,Brooks Brothers,http://www.framesdirect.com/framesfp/Brooks_Brothers-lakaoeki/r.html
Ronstrong,Wire,121.25,heart4,Shuron,http://www.framesdirect.com/framesfp/Shuron-temika/r.html
REV 653,Wire,121.88,heart5,Revolution,http://www.framesdirect.com/framesfp/Revolution-nbqaof/r.html
TR 220,Wire,126.39,heart6,Totally Rimless,http://www.framesdirect.com/framesfp/Totally_Rimless-lakapioi/r.html
TI 8172,Wire,133.23,heart7,Charmant,http://www.framesdirect.com/framesfp/Charmant_Titanium-mgsbpe/r.html
BB 495T,Wire,156.35,heart8,Brooks Brothers,http://www.framesdirect.com/framesfp/Brooks_Brothers-teljsb/r.html
The Montgomery,Wire,160.55,heart9,Penguin,http://www.framesdirect.com/framesfp/Penguin-pakiqio/r.html
TI 8600,Wire,170.73,heart10,Charmant,http://www.framesdirect.com/framesfp/Charmant_Titanium-palakap/r.html
RX8680,Wire,186.00,heart11,RayBan,http://www.framesdirect.com/framesfp/Ray-Ban_RX-teljng/r.html
DG1260,Wire,208.25,heart12,Dolce & Gabbana,http://www.framesdirect.com/framesfp/Dolce_Gabbana-lakaoeoa/r.html
Keel,Wire,240.00,heart13,Oakley,http://www.framesdirect.com/framesfp/Oakley-pakgpap/r.html
Quadra,Wire,275.38,heart14,Saville Row,http://www.framesdirect.com/framesfp/Savile_Row-tekani/r.html
LC242,Wire,132.50,heart15,Liz Claiborne,http://www.framesdirect.com/framesfp/Liz_Claiborne-lcrgta/r.html